Telegram N,Issue Id,Summary,Role,Location,Technologies,Team,Description,,,
71,VAC-200,Data Engineer,Data Engineer,"St. Petersburg, Russia",No technologies,Business Analysis & Automation,"""
## Data Engineer (Business Analysis & Automation) The JetBrains Business Analysis & Automation team is looking for a Data Engineer. We are engaged in processing a variety of data on sales, downloads, plugins, and user feedback collected from a large number of internal sources. This data is essential for making informed business decisions by the sales department, as well as by product and marketing teams. 
* You will:*
 -  Collect and clean data, evaluate the quality of data.
 -  Write queries for exporting statistics.
 -  Prepare and analyze data.
 -  Participate in the reporting automation.
 -  Optimize the existing database structure and queries in order to increase performance.
 -  Design and develop a database and ETL-processes. 
*  Minimum Qualifications::*
 -  Strong knowledge of SQL.
 -  Knowledge of database theory and data warehouse principles.
 -  Experience with Postgres, Oracle, or MSSQL.
 -  Good knowledge of PL/SQL, T-SQL, or PL/pgSQL.
 -  Attention to detail, responsibility, independence, self-discipline.
 -  Strong teamwork skills. 
*  Preferred qualifications:*
 -  Good knowledge of statistics and modern data science approaches.
 -  Experience with Reporting services, automated testing of database server logic, replication configuration.
 -  Knowledge of programming languages such as C#, Java, Python, or R.
 -  Experience with OLAP or data warehouses.
 -  Experience with ClickHouse and NoSQL solutions.
 -  Profile on sql.ru, StackOverflow.com (or other StackExchange websites). 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
72,VAC-050,Regional Marketing Manager (Germany),Marketing,"Munich, Germany",No technologies,Marketing,"""
## Regional Marketing Manager in Munich JetBrains is a global software vendor selling its products all over the world. Many of the world's most dynamic companies and individuals find JetBrains tools make them more creative and effective, and over 5,000,000 developers already use our products. For over 15 years we have strived to make the strongest, most effective developer tools on earth. For many years JetBrains has developed its marketing strategy globally, without much customization for specific markets. Now we are working on adapting the strategy to perform better on certain markets. At this time, JetBrains is looking for a Regional Marketing Manager in Germany to join the regional marketing team in Munich, Germany. The regional marketing team is responsible for adapting the global marketing strategy to local markets, further execution of regional marketing campaigns, and marketing operations on the regional level. As a regional marketing manager in Germany, you will be working closely with many cross-functional teams, such as sales, general marketing, product marketing, Internet marketing, web development, design, internal development, etc. Your activities will be aligned with regional sales activities as well as those of the marketing department (both on global and regional level). 
* Major responsibilities:*
 -  Based on the global marketing strategy, develop and alter the marketing strategy for Germany taking into account local specifics and culture, in close collaboration with marketing, sales, and other departments.
 -  Execute all the marketing campaigns and programs in the region, aligning it with sales and other activities on the market.
 -  Analyze general and JetBrains-specific state of the market and provide marketing, sales and other teams with field feedback, necessary insights and reports.
 -  Ensure general alignment of regional activities with global activities and marketing strategy.
 -  Coordinate all local marketing activities, become an """"owner"""" of localized/regional digital resources.
 -  Re-purpose and coordinate localization of relevant content to support sales operations on the market, as well as create regional-specific content (presentations, case studies, testimonials).
 -  Together with the Internet marketing team, create paid search campaigns (using Google AdWords and/or local analogs), social media campaigns (on Facebook, Twitter, Linkedin and/or local analogs), etc.
 -  Together with email marketing and marketing automation team, create and execute email campaigns (Marketo).
 -  Help organize local offline events (e.g. conferences, trade shows, user groups) and online events (e.g. webinars), both third-party and JetBrains-hosted, to assure an accurate representation of the JetBrains brand.
 -  Together with relevant departments, establish local relationships with communities, training centers, etc.
 -  Manage local social media. 
*Requirements:*
 -  Good knowledge of the German IT market and cultural aspects of operating on the market.
 -  Fluent spoken and written German.
 -  Excellent spoken and written English.
 -  Ability and desire to work efficiently without direct supervision.
 -  Attention to accuracy and detail. Organization skills and ability to prioritize tasks.
 -  Ability to work in a distributed team.
 -  Strong analytical skills.
 -  Entrepreneurial drive with appreciation for user experience and business aspects.
 -  Good communication and teamwork skills. 
*Preferable:*
 -  Degree or 3+ years of proven experience in Marketing, Project Management or a related discipline.
 -  Familiarity with and understanding of JetBrains products or similar products of other vendors.
 -  Past experience in IT companies or a technical background would be a plus.
 -  Experience in using email and marketing automation tools (we use Marketo).
 -  Experience in using Issue Tracking tools (we use YouTrack) and Help Desk software (we use Zendesk).
 -  Experience in internet marketing, social media management, creating and/or translating content (preferably technical content). 
*We offer:*
 -  Fascinating work in a friendly dynamic team.
 -  Competitive salary.
 -  Flexible working schedule.
 -  25 working days of paid leave per year.
 -  An office library with specialized work-related books and magazines.
 -  Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
 -  Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
 -  Additional benefits including lunch vouchers, free refreshments and snacks in the office, and more.""",,,
73,VAC-047,Product Marketing Manager,Marketing,"St. Petersburg, Russia",Java,IntelliJ IDEA,"""
## Product Marketing Manager JetBrains delivers tools that make professional software development a more productive and enjoyable experience. IntelliJ IDEA is our flagship IDE for productive Java development that comes in two editions: the free and open-source IntelliJ IDEA Community Edition — for JVM and Android development, and IntelliJ IDEA Ultimate — for web and enterprise development. IntelliJ IDEA is a product loved and used by hundreds thousands of developers. But we know how much more we can do to bring more value to existing users and promote the product to new users. We want to strengthen IntelliJ IDEA marketing by adding more people to the team that would allow for better focus in both product development and marketing outreach. 
*Resposibilities:*
 -  Develop and manage promotion campaigns to drive product awareness and user engagement.
 -  Understand customer needs and gather product requirements
 -  Work closely with the development team to determine product priorities and roadmap.
 -  Distill key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Plan the launch of new releases and manage the cross-functional team to execute the plan.
 -  Communicate with sales team to coordinate joint marketing/sales activities.
 -  Work across company marketing to manage online marketing campaigns, events, SEO, web design and more.
 -  Continuously monitor the market to identify new opportunities and gain competitive advantages.
 -  Collaborate with evangelists and technical writers to ensure they deliver high-quality product-related content.
 -  Prepare public appearances such as exhibitions at trade shows, customer visits and training sessions. 
*Requirements:*
 -  Amateur or professional software development experience, preferably in JVM languages.
 -  Fluent spoken and written English.
 -  Excellent communication skills.
 -  Strong analytical skills.
 -  Entrepreneurial drive with appreciation for user experience and business aspects. 
*Preferable:*
 -  Degree or 3+ years of proven experience in Marketing or a related discipline.
 -  Familiarity with IntelliJ IDEA or other JetBrains products is a great plus. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
74,VAC-049,Product Marketing Manager,Marketing,"St. Petersburg, Russia",C++,C++ Tools,"""
## Product Marketing Manager JetBrains delivers tools that make professional software development a more productive and enjoyable experience. We believe that all the 4.5-5 million C++ developers in the world deserve great tools, IDE included! With more than 30 years of C++ language history behind us and the fantastic (std::)future the C++ committee (std::)promises to the C++ community, there is still a lack of tooling for everyday development tasks. JetBrains has taken up the challenge - more than once! [www.jetbrains.com/cpp/](https://www.jetbrains.com/cpp/) We are looking for a passionate, creative, and open-minded person to join the product team and help our current Product Marketing Manager focus on both product development and marketing outreach for all C++ tools we have and are planning. 
*Resposibilities:*
 -  Product features & requirements
 -  Understand customer needs and gather product requirements.
 -  Continuously monitor the market to identify new opportunities and gain competitive advantages.
 -  Work closely with the development team to determine product priorities and the roadmap for the future of the tool.
 -  With the help of the research team do extensive research of the market, collect and analyze various product statistics.
 -  Product documentation & materials
 -  Prepare product-related content for ourselves and 3rd party resources.
 -  Select and seed the content on various 3rd party platforms.
 -  Work on product-related materials like datasheets, leaflets, comparison documents, etc.
 -  Marketing campaigns
 -  Distill the key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Work across company marketing departments to manage online marketing campaigns, events, SEO, web design, and more.
 -  Events
 -  Prepare public appearances such as exhibitions at trade shows, customer visits, and training sessions.
 -  Monitor and participate in various local communities meetups and events.
 -  Releases / EAPs
 -  Plan the launch of new releases with the team and manage the cross-functional team to execute the plan.
 -  Prepare release materials, control the publication and announcement process, run release-related promotional campaigns.
 -  Collect reports and analyze the performance of the releases. 
*Requirements:*
 -  Amateur or professional software development experience, preferably with C++.
 -  Fluent spoken and written English.
 -  Excellent communication skills.
 -  Strong analytical skills.
 -  Entrepreneurial drive with appreciation for the user experience and business aspects. 
*Preferable:*
 -  Proven IT evangelism experience would be a big plus (share with us public IT related blog posts / articles / presentations / talks done by you in the recent years).
 -  IT marketing experience / education is not required but would be a plus.
 -  Familiarity with JetBrains products would be a big plus. 
* Enclose the answers to the following questions with your cover letter, please:*
 -  Name and briefly comment on one C++ language feature which is not yet in the official signed standard, but which you consider to be the most important and helpful addition to the language.
 -  Name and briefly comment on three major benefits a C++ IDE has over text editors like Vim or Emacs (with all their extensibility opportunities). Focus on C++ specifics.
 -  Name and briefly comment on one community influencer who’s insights you think are valuable for the tools, one C++ language-related content resource and one non-IDE tooling you consider the most important for a regular C++ developer. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
75,VAC-167,Product Marketing Manager,Marketing,"St. Petersburg, Russia",No technologies,WebStorm,"""
## Product Marketing Manager JetBrains delivers tools that make professional software development a more productive and enjoyable experience. WebStorm is an IDE used by hundreds thousands of JavaScript developers. Even more developers use its features within other JetBrains products. Our goal is to provide the best development experience for the world’s most popular programming language and the huge ecosystem around it. You will work closely with the product team to define the marketing strategy for the product. For this role, we are looking for someone who is curious, creative, willing to learn and explore the market of software development tools, and comfortable with the technical aspects of the product and the job. 
*Resposibilities:*
 -  Develop and manage promotion campaigns to drive product awareness and user engagement.
 -  Distill key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Provide marketing support for product releases.
 -  Continuously monitor the market to identify new opportunities for gaining competitive advantages.
 -  Plan, schedule, and author product-related content (website, blog posts, videos, printed materials, etc.)
 -  Prepare public appearances and presentations for trade show exhibitions, customer visits, and training sessions.
 -  Communicate with the sales team to coordinate joint marketing and sales activities.
 -  Work with our internal marketing teams to plan, execute, and measure online marketing campaigns, events, SEO, web design, and more. 
*Requirements:*
 -  Degree or proven track record in Computer Science/Software Engineering or Marketing.
 -  Fluent English with good writing skills.
 -  Excellent communication skills.
 -  Strong analytical skills.
 -  Entrepreneurial drive with an appreciation for user experience and the business aspects.
 -  Product marketing or product management experience in a software development team. 
* Would be a big plus:*
 -  Experience in frontend development with JavaScript. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
76,VAC-185,Product Marketing Manager,Marketing,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia, Munich, Germany, Amsterdam, Netherlands",Kotlin,Kotlin,"""
## Product Marketing Manager (Kotlin) At JetBrains, code is our passion. For over 15 years, we’ve been striving to make the strongest, most effective developer tools. By automating routine checks and corrections, our tools speed up coding and software development, freeing you to grow, discover, and create. Part of the JetBrains family, Kotlin is a modern multiplatform programming language targeting the JVM and compilable to JavaScript as well as Android, iOS, IoT, and other LLVM-enabled platforms. Known for its concise syntax and pragmatic design, Kotlin provides ample opportunities for code-sharing and code-reuse between multiple projects on multiple platforms, as well as concurrent programming and productive development. Our team’s goal is to make Kotlin one of the top-3 most used programming languages within the next 5 years, by working closely with the community. Currently we are developing our marketing strategy, establishing the marketing communications mix and related processes to drive our marketing and communication objectives. This involves the creation and execution of integrated marketing communication campaigns for developers and for other relevant audiences. Because Kotlin is a non-commercial product, our communications policy is built around non-paid activities such as fostering communities, participating in conferences and exhibitions, involving ourselves in social media, and providing learning opportunities. We are looking for a proactive, passionate, seasoned Product Marketing Manager to join our team who will develop and implement the product marketing strategy and drive related processes, be in close touch with the community and the Kotlin product management team, and make a valuable contribution to achieving our goals. 
*Responsibilities:*
 -  Contribute to the Kotlin product marketing strategy with the goal of adapting the language and ecosystem to the needs of the community.
 -  Design and implement quantitative and qualitative product-related market research activities, individually and with the help of the internal marketing research team.
 -  Recruit, organize, and maintain customer panels (advisory boards) to keep the Kotlin team in touch with the community.
 -  Maintain a library of by-market use cases to keep developers focused on real-world problems, by conducting meetings and interviews with developers, managers, and other relevant audiences.
*Minimum qualifications:*
 -  Bachelor's degree in business, marketing, product marketing, related discipline or equivalent practical experience.
 -  Proven track record in product management or product marketing in a data-driven environment.
 -  Ability to structure and solve complex problems.
 -  Effective project management, product marketing and organizational skills.
 -  Fluent English with good writing skills.
*Preferred qualifications:*
 -  Hands-on programming experience with Kotlin or any other programming language.
 -  Superb problem-solving, strategic, and analytical capabilities.
 -  Strong communication and interpersonal skills.
 -  Entrepreneurial mindset and a passion for building and adapting products in a fast-changing environment on a global scale.
 -  Good command of Russian.""",,,
77,VAC-213,Product Marketing Manager,Marketing,"St. Petersburg, Russia",Python,PyCharm,"""
## Product Marketing Manager (PyCharm) JetBrains delivers intelligent software solutions that make developers more productive by simplifying their challenging tasks, automating the routine, and helping them adopt the best development practices. JetBrains PyCharm is a Python IDE for professional developers that provides a complete set of tools for productive Python, Web, and Scientific development. PyCharm comes in two editions: the free and open-source PyCharm Community Edition is perfect for pure Python coding, while PyCharm Professional Edition is designed for professional Python, Web, and Data Science developers. We want to strengthen PyCharm marketing by adding more people to the team and allow for better focus on both product development and marketing outreach. We are looking for a creative and open-minded professional who shares our goal to help Python developers speed up production, freeing them to grow, discover and create. This person will help the team find and focus on the most important and relevant ideas and share them among the Python community. 
*Resposibilities:*
 -  Communicate with Python developers all over the world, understand their needs and collect feedback.
 -  Work in close cooperation with the team to determine product priorities and roadmaps.
 -  Coordinate development, design, and marketing activities during the product release cycles.
 -  Increase product profitability and market share.
 -  Distill key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Plan and manage promotional campaigns to drive PyCharm awareness and user engagement.
 -  Develop educational materials for Pycharm users based on their goals, needs and knowledge levels.
 -  Continuously monitor technology trends in the Python world to find and pursue new opportunities and gain competitive advantages.
 -  Involve developer advocates and technical writers and ensure they deliver high-quality product-related content.
 -  Prepare public appearances such as exhibitions and trade shows, customer visits and training sessions. 
*Requirements:*
 -  Product/Project Management/Marketing experience in software development teams.
 -  Excellent communication skills.
 -  Advanced spoken and written English.
 -  Strong analytical skills.
 -  Data science experience is a plus.
 -  Hands-on software development or quality assurance experience is a plus.
 -  Degree in Computer Science or Marketing is a plus.
 -  Python development experience is a plus. 
* New PyCharm PMM marketing task:*
 -  On the PyCharm website after downloading PyCharm we ask the website visitors to give us their emails on the “Thank you for download” page. We use these emails to send a sequence of “Lead Nurturing” emails. For those who received the lead nurturing emails, we see higher conversion rates from downloading the evaluation version to purchasing. Furthermore, we see a better conversion rate from our community edition to the professional edition. Provide a specific idea for increasing the number of people giving us their emails so we can put them in the lead nurturing flow. Explain why this is an opportunity worth pursuing, make a justification for your proposal and tell us how you’re going to evaluate the results and implications of the proposed changes. 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
78,VAC-215,Product Marketing Manager,Marketing,"St. Petersburg, Russia",Ruby,RubyMine,"""
## Product Marketing Manager (RubyMine) JetBrains delivers tools that make professional software development a more productive and enjoyable experience. [RubyMine](https://www.jetbrains.com/ruby/) is an Integrated Development Environment (IDE) for programming in Ruby and Ruby on Rails. RubyMine is a product well-known throughout the Ruby community and has a large stable base of dedicated users. But RubyMine is a complex product and it requires additional help with product marketing to increase its share of the market. As a product marketing manager for RubyMine you will drive the direction of this tool forward as you deal with the tasks under your responsibility. 
*Resposibilities:*
 -  Product releases. Write blog posts, update website content (text, images, gifs, and videos), prepare newsletters, and generate other product and release-related content.
 -  Product management. Get and analyze data from the market and translate it into a development plan together with the RubyMine development team.
 -  Product marketing:
 -  Create and conduct internet marketing campaigns together with the internet marketing team.
 -  Organize JetBrains’ presence and participate in Ruby-related conferences all over the world.
 -  Monitor the market to identify new marketing opportunities, and conduct research tasks together with the marketing research team. 
*Requirements:*
 -  Degree or proven track record in Computer Science/Software Engineering or Marketing.
 -  Fluent English with good writing skills.
 -  Excellent communication skills.
 -  Strong analytical skills.
 -  Entrepreneurial drive with an appreciation for user experience and the business aspects.
 -  Product marketing or product management experience in a software development team. 
* Would be a big plus:*
 -  Experience in Ruby/Rails development 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
79,VAC-224,Product Marketing Manager,Marketing,"St. Petersburg, Russia",No technologies,YouTrack,"""
## Product Marketing Manager (YouTrack) JetBrains delivers tools that make professional software development a more productive and enjoyable experience. We are looking for a passionate, creative, and open-minded professional to join our product marketing team and help increase YouTrack’s adoption. YouTrack is an issue tracker designed for software development teams. That YouTrack is a team tool and differs from our IDEs a lot is a special challenge. It was the first of all JetBrains products to be offered as SaaS. Our team is progressive, flexible, and fun to work with. We believe that your personality is as important as your skillset. You can learn more about the team: [https://www.jetbrains.com/company/people/youtrack/](https://www.jetbrains.com/company/people/youtrack/) 
*Resposibilities:*
 -  Develop and manage promotion campaigns to drive product awareness and user engagement.
 -  Understand customer needs and gather product requirements.
 -  Analyze advertising campaigns and user statistics.
 -  Work closely with the development team to determine product priorities and roadmaps.
 -  Distill key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Plan the launch of new releases and work with a cross-functional team to execute the plan.
 -  Communicate with the sales team to coordinate joint marketing/sales activities.
 -  Work across the company to manage online marketing campaigns, events, SEO, web design, and more.
 -  Continuously monitor the market to identify new opportunities and gain a competitive advantage.
 -  Write blog posts, update website content (text, images, gifs, and videos), prepare newsletters, and generate other product- and release-related content.
 -  Collaborate with developer advocates and technical writers to ensure they deliver high-quality product-related content.
 -  Prepare public appearances such as exhibitions at trade shows, customer visits, and training sessions. 
*Requirements:*
 -  Degree or proven track record in Marketing or Computer Science/Software Engineering.
 -  Product management, project management, or product marketing experience in software development teams.
 -  Past experience in tech companies, or a technical background.
 -  Good communication skills, advanced English fluency, and writing skills.
 -  Strong analytical skills, with experience in working with product statistics.
 -  Entrepreneurial drive with an appreciation for user experience and business goals.
 -  Ability and desire to work efficiently without direct supervision.
 -  Ability to work in a distributed team. 
*  Would be a plus:*
 -  Familiarity with and understanding of JetBrains products or similar products of other vendors.
 -  Experience in using issue tracking tools (we use YouTrack) and helpdesk software (we use Zendesk).
 -  Experience in using email and marketing automation tools (we use Marketo).
 -  Experience in Internet marketing, social media management, and creating and/or translating content (preferably technical content). 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
80,VAC-217,Product Marketing Manager,Marketing,"St. Petersburg, Russia",No technologies,Toolbox App,"""
## Product Marketing Manager (Toolbox App and All Products Pack) JetBrains delivers tools that make professional software development a more productive and enjoyable experience. The Toolbox App is a young but already popular utility which helps our users with the repetitive task of keeping JetBrains tools up-to-date, and offers other useful features. Although the Toolbox App is used by almost half a million developers, we know we can do more to bring an even better experience to our users and promote the app to new users. One of our fastest growing offerings of JetBrains is the so-called All Products Pack, a bundle of all JetBrains desktop tools. The Toolbox App is most useful for customers of the All Products Pack. We are looking for a Product Marketing Manager that will help the Toolbox App team develop and promote the application, and in addition will help our Sales team grow the All Products Pack customer base by using various available sales and marketing tools. 
*Resposibilities:*
 -  Write blog posts, update website content (text, images, gifs, and videos), prepare newsletters, and generate other product- and release-related content.
 -  Develop and manage promotion campaigns to drive product and bundle awareness and user engagement.
 -  Understand customers’ needs and help gather product requirements.
 -  Work closely with the development team to determine product priorities and roadmaps.
 -  Distill key functionality and features of the product into compelling marketing assets and advertising possibilities.
 -  Plan the launch of new releases and coordinate a cross-functional team to execute the plan.
 -  Communicate with the sales team to coordinate joint marketing/sales activities.
 -  Work across company marketing to manage online marketing campaigns, events, SEO, web design, and more.
 -  Continuously monitor the market to identify new opportunities and gain a competitive advantage. 
*Requirements:*
 -  Degree or proven track record in Computer Science/Software Engineering or Marketing.
 -  Entrepreneurial drive with appreciation for user experience and business goals.
 -  Fluent English with good writing skills.
 -  Ability and desire to work efficiently without direct supervision.
 -  Attention to accuracy and detail. Organizational skills and an ability to prioritize tasks.
 -  Ability to work in a distributed team.
 -  Strong analytical skills.
 -  Good communication and teamwork skills. 
*  Would be a plus:*
 -  Product management, project management, or product marketing experience in a software development team.
 -  Familiarity with and understanding of JetBrains products or similar products of other vendors.
 -  Past experience in IT companies or a technical background.
 -  Experience in using email and marketing automation tools (we use Marketo).
 -  Experience in using issue tracking tools (we use YouTrack) and helpdesk software (we use Zendesk).
 -  Experience in Internet marketing, social media management, and creating and/or translating content (preferably technical content). 
*We offer:*
 -  Fascinating work in a friendly, young team.
 -  Developing products for software developers much like ourselves.
 -  High salary: determined individually, but definitely above industry average.
 -  Annual bonus.
 -  Employment package: voluntary health insurance for employees, their wives/husbands and their children under age 18 (including dental insurance), 5 weeks of paid vacation.
 -  Full salary during sick leave.
 -  Flexible working schedule.
 -  Spacious comfortable office (open 24/7) with a private parking lot.
 -  Ergonomic work spaces and cozy lounge zones.
 -  Hot meals prepared on site, free drinks, fruits and snacks.
 -  Office library with specialized work-related books and magazines.
 -  Office gym (with washrooms), massage room, and a recreational zone.
 -  Training, including English and German classes.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.""",,,
81,VAC-184,Marketing Communications Manager,Marketing,"St. Petersburg, Russia, Moscow, Russia, Novosibirsk, Russia, Munich, Germany, Amsterdam, Netherlands",Kotlin,Kotlin,"""
## Marketing Communications Manager At JetBrains, code is our passion. For over 15 years, we’ve been striving to make the strongest, most effective developer tools. By automating routine checks and corrections, our tools speed up coding and software development, freeing you to grow, discover, and create. Part of the JetBrains family, Kotlin is a modern multiplatform programming language targeting the JVM and compilable to JavaScript as well as Android, iOS, IoT, and other LLVM-enabled platforms. Known for its concise syntax and pragmatic design, Kotlin provides ample opportunities for code-sharing and code-reuse between multiple projects on multiple platforms, as well as concurrent programming and productive development. Our team’s goal is to make Kotlin one of the top-3 most used programming languages within the next 5 years, by working closely with the community. Currently we are developing our marketing strategy, establishing the marketing communications mix and related processes to drive our marketing and communication objectives. This involves the creation and execution of integrated marketing communication campaigns for developers and for other relevant audiences. Because Kotlin is a non-commercial product, our communications policy is built around non-paid activities such as fostering communities, participating in conferences and exhibitions, involving ourselves in social media, and providing learning opportunities. We are looking for a proactive, passionate, seasoned Marketing Communications Manager to join our team who will develop and implement the marketing communications strategy and drive related processes, be in close touch with the community, and make a valuable contribution to achieving our goals.
*Responsibilities:*
 -  Contribute to the Kotlin marketing communications strategy with the goal of reaching a wide range of audiences through a range of channels in order to increase language adoption.
 -  Design and implement communication campaigns and activities, primarily focused on non-paid media, individually and in close collaboration with other teams and specialists. 

*Minimum qualifications:*
 -  Bachelor's degree in business, marketing, marketing communications, related discipline or equivalent practical experience.
 -  Proven track record in marketing communications or developer relations in a result-oriented, data-driven environment.
 -  Ability to structure and solve complex problems.
 -  Effective project management, marketing management and organizational skills.
 -  Fluent English with good writing skills.

*Preferred qualifications:*
 -  Hands-on programming experience with Kotlin or any other programming language.
 -  Superb problem-solving, strategic, and analytical capabilities.
 -  Excellent communication and interpersonal skills.
 -  Entrepreneurial mindset and a passion for building and adapting product communications in a fast-changing environment on a global scale.
 -  Good command of Russian.""",,,
